originProductNo,channelProductNo,name,price,stock,status
11760641607,11815327167,HP Z440 워크스테이션 베어본 제온 E5-1670 V3 장착 RAM/HDD/VGA 없음,250000,10,SALE
11760581198,11815266480,벤큐 EX3200R EW2480 모니터 전용 아답타 19V 3.33A 20V 3.25A 호환 어댑터,12000,100,SALE
11760508007,11815192938,HP Z440 제온 E5-1670 V3 16G SSD+HDD GTX730 Win11 중고 워크스테이션,390000,10,SALE
11760214854,11814898811,삼성전자 PC 4세대 본체 미들형 DB400T3A i5-4570 8G 240G Win7,146000,10,SALE
11760169689,11814853409,삼성전자 아티브북 NT270E5U i5 3세대 8G 250GB 가정용 사무용,150000,10,SALE
11760122982,11814806674,삼성전자 노트북 플러스 NT551XCJ i5 10세대 8G 256GB 가정용 사무용,380000,2,SALE
11737713311,11792323732,LG ODD DVD Super-Multi DVD 멀티 미사용 벌크 GH-22NS50 GH-24NSD5,15000,70,SALE
11737665714,11792275876,LG 27인치 리퍼 모니터 27MN430HW FHD IPS 사무용 게임용 가정용 게이밍,120000,1,SALE
11729845995,11784433475,HP 엘리트북 840 G5 i5 7300U 16G 256G 사무용 가정용 노트북,190000,3,SALE
11729564224,11784150077,마이크로소프트 서피스 프로 i5-7300U 8G 256G Win11 Pro,290000,1,SALE
11729201214,11783785046,라이트온 샌디스크 SSD 벌크 M.2 SATA 256GB 랜덤발송,25000,308,SALE
11729195917,11783779736,삼성 SK 하이닉스 SSD 벌크 M.2 SATA 256GB 랜덤발송,29000,28,SALE
11723900175,11778467635,와콤 타블렛 인튜어스 프로 중형 PTH-651,20000,19,SALE
11720350352,11774908822,BATTERY CHARGER 8.4V0.8A 어댑터 아답타 BPC-06784 빅솔론 바코드 프린터 호환 충전기,9000,6,SALE
11705008086,11759514184,영국 홍콩 파워 케이블 전원 케이블 BS-1363 1.5m,4500,3,SALE
11691751940,11746217281,HP PC EliteDesk 800 G1 Tower 사무용 컴퓨터 가정용 본체 i5-4세대,160000,30,SALE
11680391069,11734819508,USB-C Multiport Video Adapter with 8K DisplayPort & PD 201046_V C타입 젠더,15000,30,SALE
11680187878,11734615208,HP 정품 65W USB-C 전원 아답타 어댑터 TPN-CA06 USB-PD,40000,30,SALE
11680133908,11734560946,DELL P2214H P2217H P2219H 랜덤발송 피벗 22인치 모니터 IPS LED 사무용 가정용,45000,20,SALE
11676000650,11730413209,LG 29인치 울트라 와이드 모니터 LED 29UM57 게임용 가정용 사무용,130000,0,SUSPENSION
11675913438,11730325524,삼성전자 27인치 모니터 LS27F350 사무용 가정용 게임용,90000,0,OUTOFSTOCK
11675849270,11730260996,LG전자 27인치 모니터 LED 27MK600M FHD 듀얼 틸트 게임용 가정용 게이밍,90000,0,OUTOFSTOCK
11670920316,11725315086,넥시 NX0009 USB2.0 AM to BM USB케이블 1.8m,1200,300,SALE
11670877042,11725271626,강원전자 넷메이트 USB2.0 AM-BM 프린터 케이블 1.5m,1000,300,SALE
11670795781,11725189905,LG전자 34인치 커브드 모니터 160Hz 34WP65C 울트라 와이드 게이밍 게임용,270000,0,OUTOFSTOCK
11667219026,11721600644,LG 27인치 모니터 27MP400 FHD 듀얼 틸트 사무용 게임용 가정용 게이밍,90000,1,SALE
11646779195,11701091020,비아코 미니PC MLDBS50H 시리즈 6세대 미니 PC 망분리 PC,120000,30,SALE
11642428245,11696723459,LG 그램 바닥 고무 15Z995 14Z980 14T990 노트북 받침대 고무 그램 노트북,1000,960,SALE
11642260389,11696554983,시스코장비-PDU UPS 파워케이블 C15 to 파워코드 2M,15000,2,SALE
11642229245,11696523829,ASUS P8Z77-V 인텔 Z77 메인보드 1155소켓,25000,0,OUTOFSTOCK
11642094528,11696388659,GIGABYTE 기가바이트 GA-Z77-DS3H 인텔 Z77 메인보드 1155소켓,25000,0,OUTOFSTOCK
11641921092,11696214535,ASUS P8Z77-V LE PLUS 인텔 Z77 메인보드 1155소켓,25000,0,OUTOFSTOCK
11641712172,11696004991,GIGABYTE 기가바이트 GA-Z68X-UD3H-B3 인텔 Z68 메인보드 1155소켓,25000,0,OUTOFSTOCK
11638856003,11693140969,GIGABYTE 기가바이트 GA-B250M-D3H 인텔 B250 메인보드 1151소켓,35000,0,OUTOFSTOCK
11638696969,11692980510,GIGABYTE 기가바이트 GA-H170M-D3H 인텔 H170 메인보드 1151소켓,35000,1,SUSPENSION
11638344601,11692626764,ASRock 애즈락 Z97 Pro4 인텔 Z97 메인보드 1150소켓,25000,0,OUTOFSTOCK
11638069932,11692351085,GIGABYTE 기가바이트 GA-Z87-HD3 인텔 Z87 메인보드 1150소켓,25000,1,SALE
11637428084,11691706836,GIGABYTE 기가바이트 GA-Z87X-UD3H 인텔 Z87 메인보드 1150소켓,25000,0,OUTOFSTOCK
11637123038,11691400487,GIGABYTE 기가바이트 GA-B75-D3H 인텔 B75 메인보드 1155소켓,25000,25,SALE
11633900682,11688168748,ASUS PRIME H370-A 인텔 H370 메인보드 1151v2소켓,40000,0,OUTOFSTOCK
11633728733,11687995689,ASUS EX-H310M-V3 인텔 H310 메인보드 1151v2소켓,40000,0,OUTOFSTOCK
11633554596,11687820444,GIGABYTE 기가바이트 GA-Z370M-D3H 인텔 Z370 메인보드 1151v2소켓,40000,0,OUTOFSTOCK
11633239848,11687504241,ASRock B360M PRO4 인텔 B360 메인보드 1151v2소켓,40000,0,OUTOFSTOCK
11633075640,11687339325,ASRock Z390 PRO4 인텔 Z370 메인보드 1151v2소켓,40000,0,OUTOFSTOCK
11632757970,11687020320,ASUS H170M-PRO 인텔 H170 메인보드 1151소켓,35000,0,OUTOFSTOCK
11632410893,11686672071,GIGABYTE 기가바이트 GA-B250M-DS3H 인텔 B250 메인보드 1151소켓,35000,0,SUSPENSION
11623448119,11677679006,MSI Z270 PC MATE 인텔 Z270 메인보드 1151소켓,35000,0,OUTOFSTOCK
11623309928,11677539758,GIGABYTE 기가바이트 GA-Z270-HD3 인텔 Z270 메인보드 1151소켓,35000,0,OUTOFSTOCK
11623201878,11677430890,ASRock Z370M PRO4 인텔 Z370 메인보드 1151v2소켓,40000,0,OUTOFSTOCK
11622975906,11677203464,ASRock 애즈락 H310CM-DVS 인텔 B310 메인보드 1151v2소켓,35000,0,OUTOFSTOCK
11622835068,11677061933,GIGABYTE 기가바이트 B365M-H 인텔 B365 메인보드 1151v2소켓,40000,0,OUTOFSTOCK
11622563433,11676789569,LG전자 24MP400W 평면 FHD 24인치 중고 모니터 가정용 업무용 게임용 모니터,60000,0,OUTOFSTOCK
11614379456,11668575926,데스크탑 HP ProDesk 400 G2 SFF 사무용 컴퓨터 가정용 본체 i5-4세대,150000,100,SALE
11614355302,11668551591,데스크탑 HP ProDesk 400 G2 SFF 사무용 컴퓨터 가정용 본체 i3-4세대,120000,99,SALE
11613942736,11668136431,HP 미니PC i5-9세대 ProDesk 600G5 미니 데스크탑 가정용 사무용,350000,1,SALE
11613900997,11668094503,HP 미니PC i5-8세대 ProDesk 600G4 미니 데스크탑 가정용 사무용,280000,6,SALE
11613738528,11667931433,HP 미니PC i5-7세대 ProDesk 600G3 미니 데스크탑 가정용 사무용,240000,3,SALE
11613708814,11667901645,HP 미니PC i5-6세대 ProDesk 600G3 미니 데스크탑 가정용 사무용,210000,8,SALE
11608594913,11662771117,HP 미니PC i5-6세대 ProDesk 600G2 미니 데스크탑 가정용 사무용,210000,17,SALE
11608360980,11662535744,GIGABYTE 기가바이트 게이밍 그래픽카드 중고 VGA GV-N730D5-2GI,40000,13,SALE
11608268971,11662443451,GIGABYTE 기가바이트 게이밍 그래픽카드 중고 VGA GV-N730-2GI,40000,21,SALE
11608193850,11662368056,시스코 전화기 아답타 어댑터 48V 0.917A  EADP-48EB B,7000,500,SALE
11605349901,11659516662,ASUS H110M-K 인텔 H110M 6세대 7세대 메인보드 1151소켓,29500,4,SALE
11605267607,11659433697,GIGABYTE 기가바이트 GA-B150M-D3V 인텔 B150M 메인보드 1151소켓,29500,2,SALE
11605189629,11659355100,GIGABYTE 기가바이트 GA-H110M-DS2V 인텔 H110M 6세대 메인보드 1151소켓,29500,0,OUTOFSTOCK
11604984410,11659148736,델타 DELTA 19V 4.74A  중고 4핀 아답타 어댑터 ADP-90MD,12000,50,SALE
11604860133,11659023841,5V 4A 신품 아답타 어댑터 외경 5.5mm 내경 2.5mm JPW128KA0503N04,5000,49,SALE
11604719149,11658882250,시스코 AP 전원 아답타 중고 어댑터 48V 0.38A  AA25480L,7000,98,SALE
11604015957,11658175623,아이피타임 IPTIME N007 듀얼밴드 외장형 무선 안테나 7dBi 신품 벌크,5000,1996,SUSPENSION
11480715388,11534467534,HP 미니PC i5-4세대 ProDesk 600G1 미니 데스크탑 가정용 사무용,99000,3,UNADMISSION
11479704230,11533451143,POLYCOM Polycom 폴리컴 사무실 회의용 컨퍼런스 중고 전화기 사운드스테이션2 EX,100000,2,SALE
11479659856,11533406595,POLYCOM Polycom 폴리컴 사무실 회의용 컨퍼런스 중고 전화기 사운드스테이션 IP7000,200000,1,SALE
11479610507,11533357072,POLYCOM Polycom 폴리컴 사무실 회의용 컨퍼런스 중고 전화기 사운드스테이션 IP6000,150000,0,OUTOFSTOCK
11479539640,11533285785,HP 정품 노트북 충전기 어댑터 19.5V 6.15A 120W 7.4mm 5.0mm,25000,99,SALE
11479528273,11533274359,AMD 마운팅키트 세트,500,100,SALE
11479514936,11533260960,LG 24인치 24MR400용 모니터 다리 모니터 받침대 모니터 암,15000,27,SALE
11471732567,11525453625,"LP 그래픽카드 브라켓 VGA 가이드 HDMI, DVI, RGB 세트",1000,21,SALE
11471629317,11525349957,라이트컴 COMS BT511 LGA2011 쿨러 가이드 인텔 쿨러 브라켓,700,2,SALE
11470563825,11524280386,만능 길이조절 백플레이트 빽플레이트 인텔 CPU 가이드 CPU 패널 브라켓,900,1000,SALE
